,Country,County,Designation,Points,Price,Province,Title,Variety,Winery,Year
49,Italy,Piedmont,Dino Nero Spumante,90,36.0,Piedmont,Bruno Giacosa 1996 Dino Nero Spumante (Piedmont),Champagne Blend,Bruno Giacosa,1996
50,Portugal,,Late Bottled Vintage,91,,Port,Senhora do Convento 1996 Late Bottled Vintage (Port),Port,Senhora do Convento,1996
51,US,Rutherford,Baritelle Vyd,90,60.0,California,Bell 1997 Baritelle Vyd Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Bell,1997
52,Canada,Niagara Peninsula,Oak Aged Ice Wine,89,80.0,Ontario,Inniskillin 1997 Oak Aged Ice Wine Vidal Blanc (Niagara Peninsula),Vidal Blanc,Inniskillin,1997
53,US,Green Valley,Joy! Blanc de Blancs,97,179.0,California,Iron Horse 1997 Joy! Blanc de Blancs Sparkling (Green Valley),Sparkling Blend,Iron Horse,1997
54,US,Santa Ynez Valley,Lafond Vineyard,82,35.0,California,Lafond 1997 Lafond Vineyard Pinot Noir (Santa Ynez Valley),Pinot Noir,Lafond,1997
55,Italy,Amarone della Valpolicella Classico,Morar,91,50.0,Veneto,Valentina Cubi 1997 Morar (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Valentina Cubi,1997
56,US,Carneros,Brut Champagne,92,65.0,California,Frank Family 1997 Brut Champagne Sparkling (Carneros),Sparkling Blend,Frank Family,1997
57,US,Napa Valley,,89,40.0,California,Karl Lawrence 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Karl Lawrence,1997
58,France,Chablis,Les Blanchots,92,85.0,Burgundy,Domaine Laroche 1997 Les Blanchots (Chablis),Chardonnay,Domaine Laroche,1997
59,US,Stags Leap District,,90,48.0,California,Clos du Val 1997 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Clos du Val,1997
60,US,Finger Lakes,Blanc de Blancs,87,30.0,New York,Chateau Lafayette Reneau 1997 Blanc de Blancs (Finger Lakes),Champagne Blend,Chateau Lafayette Reneau,1997
61,Italy,Toscana,Montepaone,89,45.0,Tuscany,Castello di Montepò 1997 Montepaone Cabernet Sauvignon (Toscana),Cabernet Sauvignon,Castello di Montepò,1997
62,US,Sonoma Valley,,88,15.0,California,Valley of the Moon 1997 Zinfandel (Sonoma Valley),Zinfandel,Valley of the Moon,1997
63,US,Amador County,Grandmére,81,25.0,California,Renwood 1997 Grandmére Zinfandel (Amador County),Zinfandel,Renwood,1997
64,US,Carneros,,87,35.0,California,Robert Mondavi 1997 Merlot (Carneros),Merlot,Robert Mondavi,1997
65,US,Napa Valley,Generations,91,65.0,California,Raymond 1997 Generations Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Raymond,1997
66,Italy,Chianti Classico,Querciolo Riserva,84,22.0,Tuscany,Podere La Cappella 1997 Querciolo Riserva (Chianti Classico),Sangiovese,Podere La Cappella,1997
67,US,Rutherford,Estate Bottled Reserve,90,95.0,California,Peju 1997 Estate Bottled Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Peju,1997
68,US,Paso Robles,,90,21.0,California,AJB Vineyards 1997 Syrah (Paso Robles),Syrah,AJB Vineyards,1997
69,US,Napa Valley,,91,40.0,California,Chimney Rock 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Chimney Rock,1997
70,US,Dry Creek Valley,Gold Leaf Cuvee,82,18.0,California,Meeker 1997 Gold Leaf Cuvee Zinfandel (Dry Creek Valley),Zinfandel,Meeker,1997
71,US,Napa Valley,,90,30.0,California,Clos Pegase 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clos Pegase,1997
72,Italy,Brunello di Montalcino,,93,55.0,Tuscany,La Gerla 1997 Brunello di Montalcino,Sangiovese,La Gerla,1997
73,Italy,Brunello di Montalcino,,92,65.0,Tuscany,Tenuta Caparzo 1997 Brunello di Montalcino,Sangiovese,Tenuta Caparzo,1997
74,Italy,Toscana,Selvamaggio,88,27.0,Tuscany,Villa La Selva 1997 Selvamaggio Cabernet Sauvignon (Toscana),Cabernet Sauvignon,Villa La Selva,1997
75,US,Napa Valley,Sycamore Vineyards,91,59.0,California,Freemark Abbey 1997 Sycamore Vineyards Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Freemark Abbey,1997
76,Italy,Brunello di Montalcino,,94,45.0,Tuscany,Tenuta di Sesta 1997 Brunello di Montalcino,Sangiovese,Tenuta di Sesta,1997
77,US,Santa Cruz Mountains,Bates' Ranch,90,35.0,California,Ahlgren 1997 Bates' Ranch Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Ahlgren,1997
78,US,Russian River Valley,Master's Reserve Blanc de Noir,82,14.0,California,Korbel 1997 Master's Reserve Blanc de Noir (Russian River Valley),Champagne Blend,Korbel,1997
79,US,Sonoma County,,88,16.0,California,Rodney Strong 1997 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Rodney Strong,1997
80,US,Sonoma County,Century Vines,90,22.0,California,Sausal 1997 Century Vines Zinfandel (Sonoma County),Zinfandel,Sausal,1997
81,US,Napa-Monterey-Mendocino,J. Schram Late Disgorged 150th Anniversary Release,96,200.0,California,Schramsberg 1997 J. Schram Late Disgorged 150th Anniversary Release Sparkling (Napa-Monterey-Mendocino),Sparkling Blend,Schramsberg,1997
82,Australia,Padthaway,Limited Release,90,38.0,South Australia,Jacob's Creek 1997 Limited Release Chardonnay (Padthaway),Chardonnay,Jacob's Creek,1997
83,US,Green Valley,Wedding Cuvée Brut,90,28.0,California,Iron Horse 1997 Wedding Cuvée Brut (Green Valley),Champagne Blend,Iron Horse,1997
84,US,North Fork of Long Island,,83,18.0,New York,Palmer 1997 Merlot (North Fork of Long Island),Merlot,Palmer,1997
85,US,North Coast,Meritage,91,50.0,California,Langtry 1997 Meritage Red (North Coast),Bordeaux-style Red Blend,Langtry,1997
86,Italy,Franciacorta,Brut Riserva,85,28.0,Lombardy,Cornaleto 1997 Brut Riserva Sparkling (Franciacorta),Sparkling Blend,Cornaleto,1997
87,US,Santa Cruz Mountains,Bates Ranch,89,48.0,California,Thunder Mountain 1997 Bates Ranch Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Thunder Mountain,1997
88,US,Sonoma County,Christopher's Vineyard,90,70.0,California,Stonestreet 1997 Christopher's Vineyard Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Stonestreet,1997
89,US,Napa Valley,Reserve,89,39.0,California,Merryvale 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Merryvale,1997
90,US,Napa Valley,,91,32.0,California,Titus 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Titus,1997
91,France,Champagne,Palmes d'Or,91,120.0,Champagne,Nicolas Feuillatte 1997 Palmes d'Or (Champagne),Champagne Blend,Nicolas Feuillatte,1997
92,US,Chalk Hill,Special Edition Warnecke Vyd,89,42.0,California,Herzog 1997 Special Edition Warnecke Vyd Cabernet Sauvignon (Chalk Hill),Cabernet Sauvignon,Herzog,1997
93,US,Napa Valley,Blanc de Blancs,84,29.0,California,Schramsberg 1997 Blanc de Blancs (Napa Valley),Champagne Blend,Schramsberg,1997
94,US,Napa Valley,,89,60.0,California,The Terraces 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,The Terraces,1997
95,US,Sonoma County,Wallstrum Family,83,20.0,California,Newlan 1997 Wallstrum Family Zinfandel (Sonoma County),Zinfandel,Newlan,1997
96,US,Napa Valley,Reserve,94,42.0,California,Sequoia Grove 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequoia Grove,1997
97,Italy,Vin Santo del Chianti Classico,Sant'Andrea Corsini,97,,Tuscany,Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini (Vin Santo del Chianti Classico),White Blend,Principe Corsini Fattoria Le Corti,1997
98,US,Napa Valley,Reserve Bella Vista Vineyard,88,41.0,California,Guenoc 1997 Reserve Bella Vista Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Guenoc,1997
99,US,Central Coast,,88,35.0,California,Treana 1997 Red (Central Coast),Rhône-style Red Blend,Treana,1997
100,US,Napa Valley,,89,45.0,California,Shafer 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Shafer,1997
101,Italy,Brunello di Montalcino,Greppone Mazzi,90,60.0,Tuscany,Ruffino 1997 Greppone Mazzi (Brunello di Montalcino),Sangiovese,Ruffino,1997
102,US,Stags Leap District,Sunshine Vyd,93,95.0,California,Hartwell 1997 Sunshine Vyd Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Hartwell,1997
103,US,Napa Valley,Reserve,96,60.0,California,Lewis 1997 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Lewis,1997
104,US,Napa Valley,,93,100.0,California,Far Niente 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Far Niente,1997
105,US,Dry Creek Valley,Bradford Mountain,91,21.0,California,Peterson 1997 Bradford Mountain Zinfandel (Dry Creek Valley),Zinfandel,Peterson,1997
106,US,Sonoma County,Buckeye Vyd,90,45.0,California,Kendall-Jackson 1997 Buckeye Vyd Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Kendall-Jackson,1997
107,US,Sonoma County,,90,50.0,California,Wattle Creek 1997 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Wattle Creek,1997
108,Italy,Chianti,,84,7.0,Tuscany,VinArte 1998 Chianti,Sangiovese,VinArte,1998
109,US,Napa Valley,Fay Vineyard,93,75.0,California,Stag's Leap Wine Cellars 1998 Fay Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stag's Leap Wine Cellars,1998
110,South Africa,,,86,16.0,Stellenbosch,Middelvlei 1998 Red (Stellenbosch),Red Blend,Middelvlei,1998
111,US,Sonoma County,OVOC,90,18.0,California,Alderbrook 1998 OVOC Zinfandel (Sonoma County),Zinfandel,Alderbrook,1998
112,Israel,,Vineyards Selected,82,12.0,Shomron,Carmel 1998 Vineyards Selected Shiraz (Shomron),Shiraz,Carmel,1998
113,US,California,C.S. Ridge Vineyard,90,20.0,California,Kunde 1998 C.S. Ridge Vineyard Chardonnay (California),Chardonnay,Kunde,1998
114,US,Sonoma Valley,Shaw Vineyard Century Vines,90,24.0,California,Kunde 1998 Shaw Vineyard Century Vines Zinfandel (Sonoma Valley),Zinfandel,Kunde,1998
115,US,North Fork of Long Island,Hargrave Vineyard,84,35.0,New York,Castello di Borghese 1998 Hargrave Vineyard Pinot Noir (North Fork of Long Island),Pinot Noir,Castello di Borghese,1998
116,US,Willamette Valley,Knight's Gambit Vyd,92,40.0,Oregon,La Bete 1998 Knight's Gambit Vyd Pinot Noir (Willamette Valley),Pinot Noir,La Bete,1998
117,US,Redwood Valley,,88,20.0,California,Lolonis 1998 Zinfandel (Redwood Valley),Zinfandel,Lolonis,1998
118,France,Châteauneuf-du-Pape,,88,23.0,Rhône Valley,Barton & Guestier 1998 Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Barton & Guestier,1998
119,France,Costières de Nîmes,Prestige des Gibelins,88,15.0,Rhône Valley,Château Mas Neuf 1998 Prestige des Gibelins Red (Costières de Nîmes),Rhône-style Red Blend,Château Mas Neuf,1998
120,US,Santa Maria Valley,,85,20.0,California,Brophy Clark 1998 Pinot Noir (Santa Maria Valley),Pinot Noir,Brophy Clark,1998
121,France,Champagne,Dom Ruinart Brut Rosé,95,275.0,Champagne,Ruinart 1998 Dom Ruinart Brut Rosé (Champagne),Champagne Blend,Ruinart,1998
122,Spain,Rioja,Crianza 1998,86,14.0,Northern Spain,Otanon 1998 Crianza 1998 (Rioja),Red Blend,Otanon,1998
123,France,Champagne,Diamant Rosé Brut,86,160.0,Champagne,Vranken 1998 Diamant Rosé Brut (Champagne),Champagne Blend,Vranken,1998
124,US,Willamette Valley,Marjorie Vineyards,92,39.0,Oregon,Cristom 1998 Marjorie Vineyards Pinot Noir (Willamette Valley),Pinot Noir,Cristom,1998
125,Australia,Coonawarra,Bin 128,90,22.0,South Australia,Penfolds 1998 Bin 128 Shiraz (Coonawarra),Shiraz,Penfolds,1998
126,US,Alexander Valley,Alexander's Crown Vineyard,86,28.0,California,Rodney Strong 1998 Alexander's Crown Vineyard Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Rodney Strong,1998
127,US,Sonoma County,Old Vines,91,25.0,California,St. Francis 1998 Old Vines Zinfandel (Sonoma County),Zinfandel,St. Francis,1998
128,US,Napa Valley,,89,70.0,California,Caymus 1998 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Caymus,1998
129,US,Monterey,,89,16.0,California,Ventana 1998 Merlot (Monterey),Merlot,Ventana,1998
130,Italy,Toscana,Le Marze,89,40.0,Tuscany,Elisabetta 1998 Le Marze Red (Toscana),Bordeaux-style Red Blend,Elisabetta,1998
131,Italy,Chianti,I Sodi del Paretaio,83,11.0,Tuscany,Badia di Morrona 1998 I Sodi del Paretaio (Chianti),Sangiovese,Badia di Morrona,1998
132,US,Columbia Valley (WA),,87,20.0,Washington,Kiona 1998 Merlot (Columbia Valley (WA)),Merlot,Kiona,1998
133,US,California,Silhouette,89,55.0,California,Merryvale 1998 Silhouette Chardonnay (California),Chardonnay,Merryvale,1998
134,South Africa,,Unfiltered,85,15.0,Coastal Region,Fleur Du Cap 1998 Unfiltered Merlot (Coastal Region),Merlot,Fleur Du Cap,1998
135,Italy,Chianti Classico,,83,11.0,Tuscany,Nando 1998 Chianti Classico,Sangiovese,Nando,1998
136,US,California,Wildwood Vineyard,88,20.0,California,Kunde 1998 Wildwood Vineyard Chardonnay (California),Chardonnay,Kunde,1998
137,Chile,,,89,10.0,Colchagua Valley,Dallas Conté 1998 Chardonnay (Colchagua Valley),Chardonnay,Dallas Conté,1998
138,US,Willamette Valley,Bednarik Vineyard,92,48.0,Oregon,Panther Creek 1998 Bednarik Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Panther Creek,1998
139,US,Napa Valley,Reserve,89,45.0,California,Stag's Leap Wine Cellars 1998 Reserve Chardonnay (Napa Valley),Chardonnay,Stag's Leap Wine Cellars,1998
140,US,Alexander Valley,Estate Vineyards,85,26.0,California,Rodney Strong 1998 Estate Vineyards Merlot (Alexander Valley),Merlot,Rodney Strong,1998
141,US,Sonoma Valley,Jack London Vineyard,86,20.0,California,Kenwood 1998 Jack London Vineyard Zinfandel (Sonoma Valley),Zinfandel,Kenwood,1998
142,Italy,Chianti Classico,,84,12.0,Tuscany,Cecchi 1998 Chianti Classico,Sangiovese,Cecchi,1998
143,US,Willamette Valley,,87,22.0,Oregon,Silvan Ridge 1998 Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge,1998
144,US,Yakima Valley,Red Willow Vyd,90,18.0,Washington,Columbia Winery 1998 Red Willow Vyd Sangiovese (Yakima Valley),Sangiovese,Columbia Winery,1998
145,France,Meursault,Château de Blagny Premier Cru,88,45.0,Burgundy,Louis Latour 1998 Château de Blagny Premier Cru (Meursault),Chardonnay,Louis Latour,1998
146,South Africa,,,86,22.0,Paarl,Plaisir De Merle 1998 Merlot (Paarl),Merlot,Plaisir De Merle,1998
147,US,,Shea Vineyard,94,48.0,America,Panther Creek 1998 Shea Vineyard Pinot Noir (America),Pinot Noir,Panther Creek,1998
148,US,California,Reserve,83,7.0,California,Glen Ellen 1998 Reserve Cabernet Sauvignon (California),Cabernet Sauvignon,Glen Ellen,1998
149,Spain,Rioja,Conde de Valdemar Crianza 1998,86,9.0,Northern Spain,Martinez Bujanda 1998 Conde de Valdemar Crianza 1998 (Rioja),Tempranillo,Martinez Bujanda,1998
150,US,Yakima Valley,,81,9.0,Washington,Hoodsport 1998 Chenin Blanc (Yakima Valley),Chenin Blanc,Hoodsport,1998
151,Portugal,,Colheita,93,53.0,Port,Niepoort 1998 Colheita (Port),Port,Niepoort,1998
152,US,Finger Lakes,Ice Wine,81,18.0,New York,Wagner 1998 Ice Wine Vidal Blanc (Finger Lakes),Vidal Blanc,Wagner,1998
153,US,Arroyo Grande Valley,,89,18.0,California,Brophy Clark 1998 Pinot Noir (Arroyo Grande Valley),Pinot Noir,Brophy Clark,1998
154,US,Willamette Valley,,83,9.0,Oregon,Duck Pond 1998 Pinot Noir (Willamette Valley),Pinot Noir,Duck Pond,1998
155,Italy,Sant'Antimo,Excelsus,90,73.0,Tuscany,Castello Banfi 1998 Excelsus Red (Sant'Antimo),Bordeaux-style Red Blend,Castello Banfi,1998
156,Israel,,Private Collection,84,12.0,Judean Hills,Carmel 1998 Private Collection Merlot (Judean Hills),Merlot,Carmel,1998
157,US,Willamette Valley,,87,15.0,Oregon,Evesham Wood 1998 Pinot Noir (Willamette Valley),Pinot Noir,Evesham Wood,1998
158,US,Santa Barbara County,Fathom,89,30.0,California,Babcock 1998 Fathom Red (Santa Barbara County),Bordeaux-style Red Blend,Babcock,1998
159,Chile,,Reserva,86,15.0,Maipo Valley,Cousiño-Macul 1998 Reserva Merlot (Maipo Valley),Merlot,Cousiño-Macul,1998
160,Italy,Sant'Antimo,Colvecchio,86,36.0,Tuscany,Castello Banfi 1998 Colvecchio Syrah (Sant'Antimo),Syrah,Castello Banfi,1998
161,Italy,Toscana,,89,28.0,Tuscany,Lucente 1998 Sangiovese (Toscana),Sangiovese,Lucente,1998
162,Portugal,,Colheita,87,22.0,Port,Cálem 1998 Colheita (Port),Port,Cálem,1998
163,US,Yakima Valley,,82,11.0,Washington,Hoodsport 1998 Chardonnay (Yakima Valley),Chardonnay,Hoodsport,1998
164,US,Sonoma County,,85,15.0,California,Kenwood 1998 Zinfandel (Sonoma County),Zinfandel,Kenwood,1998
165,US,North Fork of Long Island,Estate,83,13.0,New York,Palmer 1998 Estate Pinot Blanc (North Fork of Long Island),Pinot Blanc,Palmer,1998
166,US,Willamette Valley,AVS,91,40.0,Oregon,Adelsheim 1998 AVS Pinot Noir (Willamette Valley),Pinot Noir,Adelsheim,1998
167,US,Long Island,Peacock,84,9.0,New York,Pindar Vineyards 1998 Peacock Chardonnay (Long Island),Chardonnay,Pindar Vineyards,1998
168,US,North Fork of Long Island,Reserve,82,18.0,New York,Laurel Lake 1998 Reserve Cabernet Sauvignon (North Fork of Long Island),Cabernet Sauvignon,Laurel Lake,1998
169,US,California,Muirfield Vineyard,90,48.0,California,Siduri 1998 Muirfield Vineyard Pinot Noir (California),Pinot Noir,Siduri,1998
170,US,Arroyo Grande Valley,,86,28.0,California,Talley 1998 Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley,1998
171,US,Paso Robles,James Gang Reserve,87,26.0,California,Tobin James 1998 James Gang Reserve Zinfandel (Paso Robles),Zinfandel,Tobin James,1998
172,US,Napa Valley,,87,22.0,California,William Hill Estate 1998 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,William Hill Estate,1998
173,Italy,Chianti Classico,Riserva,90,22.0,Tuscany,Carpineto 1998 Riserva (Chianti Classico),Sangiovese,Carpineto,1998
174,US,Willamette Valley,Southeast Block Reserve,90,35.0,Oregon,Bethel Heights 1998 Southeast Block Reserve Pinot Noir (Willamette Valley),Pinot Noir,Bethel Heights,1998
175,US,Sonoma County,Reserve,86,15.0,California,Barefoot Cellars 1998 Reserve Pinot Noir (Sonoma County),Pinot Noir,Barefoot Cellars,1998
176,Chile,,Concepcion Reserva,86,11.0,Maule Valley,Francisco Gillmore 1998 Concepcion Reserva Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,Francisco Gillmore,1998
177,France,Champagne,Chardonnay Blanc de Blancs Brut,89,40.0,Champagne,Nicolas Feuillatte 1998 Chardonnay Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Nicolas Feuillatte,1998
178,US,Willamette Valley,Louise Vineyard,88,39.0,Oregon,Cristom 1998 Louise Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Cristom,1998
179,US,Russian River Valley,Collins Vineyard,90,26.0,California,Limerick Lane 1998 Collins Vineyard Zinfandel (Russian River Valley),Zinfandel,Limerick Lane,1998
